# Incident energy   MT=1 : (n,total)   MT=2 : (z,elastic)   MT=102 : (z,γ)
0.001   69.36757   2.579297   66.78828
0.00101   69.04409319999999   2.5748746   66.469224
0.00102   68.7206164   2.5704522   66.150168
0.00103   68.3971396   2.5660298   65.83111199999999
0.0010400000000000001   68.07366279999998   2.5616074   65.512056
0.00105   67.750186   2.557185   65.193
0.00106   67.4267092   2.5527626000000003   64.873944
0.00107   67.1238136   2.5486931200000003   64.5751176
0.00108   66.82777839999999   2.5447412799999998   64.28303439999999
0.00109   66.5317432   2.54078944   63.99095119999999
0.0011   66.23570799999999   2.5368376   63.69886799999999
0.00111   65.9396728   2.53288576   63.406784800000004
0.0011200000000000001   65.6436376   2.52893392   63.1147016
0.0011300000000000001   65.3594896   2.52518216   62.834305599999986
0.0011400000000000002   65.08722879999999   2.5216304800000002   62.565596799999994
0.00115   64.814968   2.5180787999999996   62.296887999999996
0.00116   64.5427072   2.51452712   62.028179200000004
0.00117   64.2704464   2.51097544   61.7594704
0.00118   63.998185600000006   2.5074237600000004   61.4907616
0.00119   63.731114399999996   2.50395784   61.227156400000005
0.0012   63.479612   2.5007492   60.97886200000001
0.00121   63.228109599999996   2.49754056   60.73056759999999
0.00122   62.976607200000004   2.49433192   60.4822732
0.00123   62.7251048   2.49112328   60.233978799999996
0.00124   62.473602400000004   2.48791464   59.9856844
0.00125   62.2221   2.484706   59.73739
0.00126   61.996919999999996   2.4819224   59.514993999999994
0.00127   61.771739999999994   2.4791388   59.292598
0.00128   61.54656   2.4763552   59.070201999999995
0.0012900000000000001   61.32138   2.4735716   58.84780599999999
0.0013000000000000002   61.096199999999996   2.470788   58.625409999999995
0.0013100000000000002   60.871019999999994   2.4680044000000003   58.403014
0.00132   60.64584   2.4652208000000004   58.180617999999996
0.00133   60.42066   2.4624372   57.958222
0.00134   60.195479999999996   2.4596536   57.735825999999996
0.00135   59.9703   2.4568700000000003   57.51343
0.00136   59.74512   2.4540864   57.291033999999996
0.0013700000000000001   59.51994   2.4513028000000006   57.06863799999999
0.0013800000000000002   59.30919399999999   2.4487457200000002   56.86044919999999
0.0013900000000000002   59.11288199999999   2.4464151600000004   56.66646759999999
0.0014000000000000002   58.91656999999999   2.4440846   56.472485999999996
0.0014100000000000002   58.720257999999994   2.44175404   56.278504399999996
0.0014200000000000003   58.52394599999999   2.43942348   56.084522799999995
0.0014300000000000003   58.327633999999996   2.4370929200000004   55.890541199999994
0.00144   58.131322   2.43476236   55.69655959999999
0.00145   57.93501   2.4324318   55.502578
0.00146   57.738698   2.43010124   55.3085964
0.00147   57.54238599999999   2.4277706800000005   55.11461480000001
0.00148   57.346073999999994   2.42544012   54.920633200000005
0.00149   57.149761999999996   2.42310956   54.726651600000004
0.0015   56.95345   2.420779   54.53267
0.00151   56.780325999999995   2.4188002   54.3615252
0.00152   56.607201999999994   2.4168214   54.1903804
0.0015300000000000001   56.43407799999999   2.4148426   54.019235599999995
0.00154   56.260954   2.4128638000000002   53.8480908
0.00155   56.08783   2.410885   53.67694600000001
0.00156   55.914706   2.4089062   53.5058012
0.00157   55.741581999999994   2.4069274000000003   53.3346564
0.00158   55.56845799999999   2.4049486   53.1635116
0.00159   55.395334   2.4029697999999997   52.9923668
0.0016   55.22221   2.400991   52.821222
0.00161   55.049086   2.3990121999999996   52.650077200000005
0.0016200000000000001   54.875962   2.3970333999999998   52.4789324
0.0016300000000000002   54.712318399999994   2.39519384   52.3171284
0.0016400000000000002   54.5581552   2.39349352   52.164665199999995
0.0016500000000000002   54.40399199999999   2.3917932   52.012201999999995
0.00166   54.2498288   2.39009288   51.8597388
0.00167   54.095665600000004   2.38839256   51.7072756
0.00168   53.941502400000005   2.3866922399999995   51.5548124
0.00169   53.7873392   2.3849919199999996   51.402349199999996
0.0017000000000000001   53.633176   2.3832915999999997   51.249886
0.0017100000000000001   53.4790128   2.38159128   51.0974228
0.0017200000000000002   53.3248496   2.37989096   50.944959600000004
0.0017300000000000002   53.170686399999994   2.3781906399999997   50.7924964
0.0017400000000000002   53.0165232   2.37649032   50.64003319999999
0.0017500000000000003   52.86236   2.3747899999999995   50.48757
0.0017599999999999998   52.72393280000001   2.37331368   50.3506196
0.0017699999999999999   52.585505600000005   2.3718373600000002   50.213669200000005
0.00178   52.4470784   2.37036104   50.076718799999995
0.00179   52.3086512   2.36888472   49.93976839999999
0.0018   52.170224000000005   2.3674084   49.802818
0.00181   52.0317968   2.3659320800000003   49.6658676
0.00182   51.8933696   2.36445576   49.528917199999995
0.00183   51.754942400000004   2.36297944   49.39196679999999
0.00184   51.616515199999995   2.36150312   49.25501639999999
0.00185   51.478088   2.3600268   49.11806599999999
0.00186   51.3396608   2.3585504800000003   48.981115599999995
0.0018700000000000001   51.201233599999995   2.3570741600000003   48.8441652
0.00188   51.06942239999999   2.3556892400000002   48.713738799999994
0.00189   50.94422719999999   2.3543957200000003   48.589836399999996
0.0019   50.819032   2.3531022000000004   48.465934
0.00191   50.6938368   2.3518086800000004   48.34203159999999
0.00192   50.5686416   2.35051516   48.2181292
0.00193   50.44344639999999   2.34922164   48.0942268
0.00194   50.31825119999999   2.34792812   47.9703244
0.0019500000000000001   50.193056   2.3466346000000002   47.846422
0.00196   50.0678608   2.3453410800000003   47.7225196
0.00197   49.9426656   2.3440475600000004   47.5986172
0.00198   49.8174704   2.3427540400000004   47.4747148
0.00199   49.6922752   2.34146052   47.350812399999995
0.002   49.56708   2.340167   47.22691
0.00201   49.45560906666667   2.3390569733333337   47.11654946666667
0.00202   49.34413813333333   2.337946946666667   47.00618893333333
0.00203   49.2326672   2.33683692   46.89582839999999
0.00204   49.12119626666666   2.3357268933333333   46.785467866666664
0.00205   49.00972533333333   2.334616866666667   46.67510733333333
0.00206   48.8982544   2.33350684   46.564746799999995
0.0020700000000000002   48.78678346666666   2.3323968133333333   46.45438626666666
0.0020800000000000003   48.675312533333326   2.331286786666667   46.344025733333325
0.00209   48.5638416   2.33017676   46.233665200000004
0.0021   48.45237066666667   2.3290667333333337   46.12330466666667
0.00211   48.34089973333334   2.327956706666667   46.012944133333335
0.00212   48.22942880000001   2.32684668   45.9025836
0.00213   48.117957866666664   2.3257366533333332   45.79222306666667
0.00214   48.00648693333333   2.324626626666667   45.68186253333334
0.00215   47.895016   2.3235166   45.571502
0.00216   47.78354506666667   2.3224065733333337   45.46114146666667
0.00217   47.67207413333333   2.321296546666667   45.35078093333333
0.00218   47.56060319999999   2.32018652   45.2404204
0.00219   47.45251133333333   2.3191200933333334   45.13339519999999
0.0022   47.35455666666666   2.3181844666666667   45.036376
0.00221   47.256602   2.3172488400000004   44.9393568
0.00222   47.158647333333334   2.3163132133333333   44.84233759999999
0.00223   47.06069266666667   2.315377586666667   44.7453184
0.0022400000000000002   46.962737999999995   2.31444196   44.6482992
0.0022500000000000003   46.86478333333333   2.313506333333333   44.55128
0.0022600000000000003   46.76682866666666   2.3125707066666665   44.45426079999999
0.0022700000000000003   46.668874   2.31163508   44.357241599999995
0.0022800000000000003   46.57091933333332   2.310699453333333   44.2602224
0.00229   46.47296466666666   2.3097638266666665   44.1632032
0.0023   46.375009999999996   2.3088281999999998   44.066184
0.00231   46.27705533333333   2.307892573333333   43.9691648
0.00232   46.17910066666667   2.3069569466666664   43.872145599999996
0.00233   46.081146   2.3060213199999997   43.7751264
0.00234   45.98319133333333   2.3050856933333335   43.6781072
0.00235   45.885236666666664   2.3041500666666663   43.581087999999994
0.00236   45.787282000000005   2.30321444   43.4840688
0.00237   45.68932733333334   2.3022788133333334   43.387049600000005
0.00238   45.596867333333336   2.3014113999999997   43.29545706666667
0.00239   45.509902   2.3006121999999998   43.209291199999996
0.0024   45.42293666666666   2.299813   43.123125333333334
0.00241   45.33597133333333   2.2990138   43.03695946666667
0.00242   45.249005999999994   2.2982145999999997   42.9507936
0.00243   45.16204066666666   2.2974153999999998   42.864627733333336
0.00244   45.07507533333333   2.2966162   42.778461866666674
0.00245   44.98810999999999   2.2958169999999996   42.692296
0.00246   44.90114466666667   2.2950177999999997   42.60613013333332
0.00247   44.81417933333333   2.2942185999999998   42.51996426666667
0.00248   44.727214   2.2934194   42.4337984
0.00249   44.640248666666665   2.2926202   42.34763253333334
0.0025   44.55328333333333   2.291821   42.261466666666664
0.00251   44.466317999999994   2.2910218   42.1753008
0.00252   44.37935266666666   2.2902226   42.089134933333334
0.00253   44.29238733333333   2.2894234   42.002969066666665
0.00254   44.205422   2.2886242   41.9168032
0.00255   44.11845666666667   2.2878249999999998   41.83063733333333
0.00256   44.03149133333333   2.2870258   41.74447146666667
0.0025700000000000002   43.951335199999995   2.28630816   41.6650328
0.0025800000000000003   43.8734488   2.2856177066666667   41.58783653333333
0.0025900000000000003   43.795562399999994   2.284927253333333   41.51064026666666
0.0026000000000000003   43.717676   2.2842368   41.433444
0.0026100000000000003   43.63978959999999   2.283546346666667   41.356247733333326
